geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
1858	37.09796497	37.09796497	-93.40415396	-93.40415396
1859	37.11567783	37.11567783	-93.40539256	-93.40539256
1860	37.11079241	37.11079241	-93.40023293	-93.40023293
1861	37.10839964	37.10839964	-93.39858097	-93.39858097
1862	37.10820492	37.10820492	-93.39866895	-93.39866895
1863	37.09429293	37.09429293	-93.4036201	-93.4036201
1864	37.09149757	37.09149757	-93.40479907	-93.40479907
1865	37.09145415	37.09145415	-93.4049168	-93.4049168
1866	37.09136331	37.09136331	-93.4057687	-93.4057687
1867	37.09180366	37.09180366	-93.4068841	-93.4068841
1868	37.09766673	37.09766673	-93.41149242	-93.41149242
1869	37.10110107	37.10110107	-93.41526261	-93.41526261
1870	37.10647821	37.10647821	-93.41609132	-93.41609132
1871	37.10720252	37.10720252	-93.41611014	-93.41611014
1872	37.10887447	37.10887447	-93.39846853	-93.39846853
