ParkName,ParkCode,LocationID,PeriodID,EventID,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments
Buffalo National River,BUFF,BUFFRMINVEBT31,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,10,9.00,34.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBT31,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,11,10.00,30.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBT31,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,12,10.50,0.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB21,1,0.00,0.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB21,2,4.00,74.00,0.81,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB21,3,8.00,62.00,1.30,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB21,4,12.00,52.00,1.32,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB21,5,16.00,46.00,1.09,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB21,6,20.00,40.00,1.52,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB21,7,24.00,60.00,1.28,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB21,8,28.00,42.00,1.92,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB21,9,32.00,24.00,1.15,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB21,10,36.00,50.00,1.07,
Buffalo National River,BUFF,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,BUFFRMINVE2007JAN04,1,0.00,0.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,BUFFRMINVE2007JAN04,2,0.50,2.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,BUFFRMINVE2007JAN04,3,1.00,8.00,0.01,
Buffalo National River,BUFF,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,BUFFRMINVE2007JAN04,4,1.50,16.00,0.03,
Buffalo National River,BUFF,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,BUFFRMINVE2007JAN04,5,2.00,28.00,0.06,
Buffalo National River,BUFF,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,BUFFRMINVE2007JAN04,6,2.50,28.00,0.09,
Buffalo National River,BUFF,BUFFRMINVEBT03,BUFFRMINVE2007JAN04,BUFFRMINVE2007JAN04,7,3.00,43.00,0.08,
